"respnr","attit_1","attit_2","attit_3","norm_1","norm_2","norm_3","intent","behavior","control_1","control_2","control_3","sex"
171,5,5,1,2,3,3,3,4,3,5,3,"man"
128,3,4,2,2,3,4,2,3,3,1,2,"man"
247,3,2,4,3,5,3,3,4,4,3,4,"man"
219,3,3,3,5,5,5,5,5,5,3,4,"man"
204,4,5,2,3,4,4,4,5,3,4,5,"man"
222,3,3,5,3,4,4,1,2,3,5,1,"man"
145,2,2,5,2,3,5,3,3,2,4,1,"man"
133,3,1,3,3,2,1,2,3,2,2,2,"man"
74,3,4,2,4,2,4,3,4,4,3,5,"man"
96,4,5,1,4,5,3,4,4,5,5,4,"man"
73,4,4,1,5,4,5,5,5,4,5,3,"man"
61,4,3,3,4,4,5,4,3,1,1,2,"man"
80,2,1,4,5,4,5,4,4,3,4,3,"man"
208,5,4,3,1,4,1,3,2,1,3,3,"man"
190,3,2,3,1,2,2,2,4,2,2,2,"man"
209,4,4,2,5,5,4,5,5,3,5,5,"man"
43,5,4,1,3,3,1,3,4,3,3,4,"man"
236,4,5,2,5,5,3,5,5,4,4,5,"man"
131,5,4,2,5,5,3,4,4,4,3,2,"man"
249,3,5,1,2,3,3,3,4,3,2,3,"man"
53,5,4,2,2,3,5,4,4,5,4,5,"man"
175,1,1,5,4,4,5,3,4,2,2,3,"man"
170,3,2,3,1,3,3,2,4,3,4,4,"man"
116,4,3,1,4,3,4,5,5,4,4,5,"man"
235,4,5,3,4,5,4,5,4,3,4,5,"man"
66,3,2,3,3,4,3,3,4,3,1,1,"man"
168,2,1,3,5,3,5,3,3,3,2,4,"man"
114,4,3,2,3,3,4,5,5,4,3,2,"man"
228,1,3,4,2,2,1,3,3,4,5,3,"man"
203,3,3,4,3,3,5,4,4,2,1,2,"man"
121,4,4,1,1,1,3,3,4,3,3,5,"man"
24,5,5,2,3,1,4,4,4,3,4,3,"man"
58,4,3,4,5,3,2,4,4,3,3,3,"man"
221,3,1,5,3,1,2,2,3,3,4,1,"man"
10,3,4,3,4,4,3,5,5,4,5,5,"man"
90,3,2,2,4,5,5,3,4,4,3,2,"man"
104,3,4,3,3,4,3,3,5,3,4,2,"man"
47,2,3,3,4,3,1,4,4,2,3,5,"man"
147,1,1,3,1,1,3,1,3,2,5,3,"man"
86,3,3,3,3,3,5,5,4,4,1,2,"man"
230,2,3,3,5,4,3,4,5,2,1,4,"man"
206,3,3,1,4,5,5,4,5,3,4,5,"man"
146,2,1,3,4,5,5,4,5,3,4,3,"man"
188,2,3,4,5,3,4,3,5,2,2,1,"man"
